Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
Ankyrin_Lneg_g11802_i1,Ankyrin_Lneg_g11802,100,gb|KMQ96421.1|,"serine threonine-protein phosphatase 6 regulatory ankyrin repeat subunit c-like isoform 1 protein, partial [Lasius niger]",1.64E-54,183
Ankyrin_Lneg_g12352_i1,Ankyrin_Lneg_g12352,80.965,ref|XP_011337937.1|,ankyrin repeat domain-containing protein 6 [Ooceraea biroi],0,1204
Ankyrin_Lneg_g12400_i1,Ankyrin_Lneg_g12400,100,gb|KMQ97987.1|,osteoclast-stimulating factor 1 [Lasius niger],5.04E-167,466
Ankyrin_Lneg_g12882_i1,Ankyrin_Lneg_g12882,93.742,ref|XP_024881443.1|,leucine-rich repeat serine/threonine-protein kinase 1 [Temnothorax curvispinosus],0,4878
Ankyrin_Lneg_g13178_i1,Ankyrin_Lneg_g13178,92.44,gb|KMQ92521.1|,nf-kappa-b inhibitor zeta [Lasius niger],0,1070
Ankyrin_Lneg_g13412_i1,Ankyrin_Lneg_g13412,66.489,ref|XP_011164810.1|,uncharacterized protein LOC105199405 [Solenopsis invicta],0,1401
Ankyrin_Lneg_g13494_i1,Ankyrin_Lneg_g13494,78.241,ref|XP_011160890.2|,ankyrin repeat domain-containing protein 40 isoform X1 [Solenopsis invicta],2.65E-122,349
Ankyrin_Lneg_g14722_i1,Ankyrin_Lneg_g14722,32.174,gb|KMQ98143.1|,protein fem-1 [Lasius niger],0.00000722,52.4
Ankyrin_Lneg_g14784_i1,Ankyrin_Lneg_g14784,93.706,ref|XP_039301735.1|,3'-5' RNA helicase YTHDC2 [Solenopsis invicta],0,2225
Ankyrin_Lneg_g15469_i1,Ankyrin_Lneg_g15469,82.716,ref|XP_012234477.1|,PREDICTED: caseinolytic peptidase B protein homolog isoform X1 [Linepithema humile],0,1085
Ankyrin_Lneg_g15518_i1,Ankyrin_Lneg_g15518,93.665,ref|XP_011342679.1|,ankyrin repeat and death domain-containing protein 1A isoform X3 [Ooceraea biroi],1.21E-152,439
Ankyrin_Lneg_g15658_i1,Ankyrin_Lneg_g15658,31.862,ref|XP_026296234.1|,ankyrin-3 isoform X6 [Apis mellifera],1.4E-83,299
Ankyrin_Lneg_g15751_i1,Ankyrin_Lneg_g15751,93.62,ref|XP_024893874.1|,ankyrin repeat and SAM domain-containing protein 1A-like isoform X1 [Temnothorax curvispinosus],0,2648
Ankyrin_Lneg_g16300_i1,Ankyrin_Lneg_g16300,95.095,ref|XP_011346976.1|,ankyrin repeat domain-containing protein 13D isoform X2 [Ooceraea biroi],0,1221
Ankyrin_Lneg_g16551_i1,Ankyrin_Lneg_g16551,32.086,ref|XP_011329230.2|,uncharacterized protein LOC105274639 [Ooceraea biroi],6.07E-42,165
Ankyrin_Lneg_g16769_i1,Ankyrin_Lneg_g16769,98.638,gb|KMQ96590.1|,ankyrin repeat domain-containing protein 27 [Lasius niger],0,1796
Ankyrin_Lneg_g16832_i1,Ankyrin_Lneg_g16832,84.57,ref|XP_039305643.1|,ankyrin repeat domain-containing protein 17 isoform X5 [Solenopsis invicta],0,4876
Ankyrin_Lneg_g16876_i1,Ankyrin_Lneg_g16876,99.568,gb|KMQ96141.1|,85 kda calcium-independent phospholipase a2 [Lasius niger],0,1441
Ankyrin_Lneg_g16981_i1,Ankyrin_Lneg_g16981,34.507,ref|NP_001097539.1|,"ankyrin 2, isoform K [Drosophila melanogaster]",1.34E-15,85.5
Ankyrin_Lneg_g17019_i1,Ankyrin_Lneg_g17019,43.103,ref|NP_001027085.1|,"anorexia, isoform B [Drosophila melanogaster]",4.1E-57,184
Antp_Lneg_g03079_i1,Antp_Lneg_g03079,94.633,ref|XP_024874570.1|,homeotic protein antennapedia [Temnothorax curvispinosus],0,664
Aps_Lneg_g14706_i3,Aps_Lneg_g14706,97.34,gb|KMQ97626.1|,diphosphoinositol polyphosphate phosphohydrolase 1 [Lasius niger],2.29E-132,371
armi_Lneg_g14715_i1,armi_Lneg_g14715,71.44,ref|XP_011349825.1|,RNA helicase Mov10l1 [Ooceraea biroi],0,1806
Arrestin_Lneg_g00652_i4,Arrestin_Lneg_g00652,97.405,ref|XP_025992827.1|,beta-arrestin-1 isoform X1 [Solenopsis invicta],0,1010
ATG5_Lneg_g14016_i1,ATG5_Lneg_g14016,97.358,ref|XP_011170995.1|,autophagy protein 5 [Solenopsis invicta],0,543
ATG6_Lneg_g08016_i1,ATG6_Lneg_g08016,98.88,ref|XP_011344237.1|,beclin-1-like protein isoform X2 [Ooceraea biroi],0,735
aub_Lneg_g03468_i1,aub_Lneg_g03468,70.678,ref|XP_024884763.1|,piwi-like protein Siwi [Temnothorax curvispinosus],0,1245
aub_Lneg_g08754_i1,aub_Lneg_g08754,70.964,ref|XP_011056568.1|,PREDICTED: protein aubergine-like [Acromyrmex echinatior],0,1278
aub_Lneg_g12858_i1,aub_Lneg_g12858,69.86,ref|XP_012234676.1|,PREDICTED: protein argonaute-3 [Linepithema humile],0,1344
beta-catenin_Lneg_g00820_i1,beta-catenin_Lneg_g00820,97.901,ref|XP_011066872.1|,PREDICTED: armadillo segment polarity protein isoform X2 [Acromyrmex echinatior],0,1647
Beta-galactosidase_Lneg_g09458_i1,Beta-galactosidase_Lneg_g09458,61.753,ref|XP_001121565.2|,beta-galactosidase [Apis mellifera],0,647
Beta-galactosidase_Lneg_g11840_i1,Beta-galactosidase_Lneg_g11840,88.618,ref|XP_024886907.1|,beta-galactosidase-like [Temnothorax curvispinosus],1.52E-74,236
Beta-ketoacyl_synthase_Lneg_g00771_i1,Beta-ketoacyl_synthase_Lneg_g00771,66.516,ref|XP_024884694.1|,fatty acid synthase-like [Temnothorax curvispinosus],4.13E-112,322
Beta-ketoacyl_synthase_Lneg_g02401_i1,Beta-ketoacyl_synthase_Lneg_g02401,87.5,ref|XP_011330607.1|,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial [Ooceraea biroi]",0,796
Beta-ketoacyl_synthase_Lneg_g02547_i1,Beta-ketoacyl_synthase_Lneg_g02547,66.165,ref|XP_011171248.3|,fatty acid synthase-like [Solenopsis invicta],2.2E-61,196
Beta-ketoacyl_synthase_Lneg_g02704_i1,Beta-ketoacyl_synthase_Lneg_g02704,94.444,gb|KMQ82955.1|,fatty acid synthase [Lasius niger],2.97E-73,216
Beta-ketoacyl_synthase_Lneg_g05357_i1,Beta-ketoacyl_synthase_Lneg_g05357,73.103,gb|KMQ86907.1|,fatty acid synthase [Lasius niger],3.92E-76,225
Beta-ketoacyl_synthase_Lneg_g12203_i1,Beta-ketoacyl_synthase_Lneg_g12203,66.968,ref|XP_024884694.1|,fatty acid synthase-like [Temnothorax curvispinosus],1.09E-112,324
Beta-ketoacyl_synthase_Lneg_g12373_i1,Beta-ketoacyl_synthase_Lneg_g12373,57.616,ref|XP_024869182.1|,fatty acid synthase-like [Temnothorax curvispinosus],1.31E-55,176
Beta-ketoacyl_synthase_Lneg_g13787_i1,Beta-ketoacyl_synthase_Lneg_g13787,66.516,ref|XP_024884694.1|,fatty acid synthase-like [Temnothorax curvispinosus],3.35E-111,320
Beta-ketoacyl_synthase_Lneg_g14547_i1,Beta-ketoacyl_synthase_Lneg_g14547,70.423,ref|XP_024884694.1|,fatty acid synthase-like [Temnothorax curvispinosus],6.48E-117,335
Beta-ketoacyl_synthase_Lneg_g14654_i1,Beta-ketoacyl_synthase_Lneg_g14654,73.793,gb|KMQ86907.1|,fatty acid synthase [Lasius niger],1.31E-75,224
Beta-ketoacyl_synthase_Lneg_g14683_i1,Beta-ketoacyl_synthase_Lneg_g14683,94.406,gb|KMQ86907.1|,fatty acid synthase [Lasius niger],2.95E-99,283
Blue_Lneg_g08326_i1,Blue_Lneg_g08326,91.576,ref|XP_012224961.1|,"PREDICTED: opsin, ultraviolet-sensitive [Linepithema humile]",0,704
Blue_Lneg_g10565_i2,Blue_Lneg_g10565,93.915,ref|XP_012226666.1|,"PREDICTED: opsin, blue-sensitive [Linepithema humile]",0,719
Brinker_Lneg_g14014_i1,Brinker_Lneg_g14014,75.873,ref|XP_011347128.2|,uncharacterized protein LOC105284943 [Ooceraea biroi],0,1154
Broad-complex_Lneg_g06204_i2,Broad-complex_Lneg_g06204,99.662,gb|KMR04998.1|,"broad-complex core protein isoform 6, partial [Lasius niger]",0,615
Broad-complex_Lneg_g09195_i1,Broad-complex_Lneg_g09195,73.18,ref|XP_016771242.1|,protein abrupt isoform X2 [Apis mellifera],0,632
Broad-complex_Lneg_g11092_i1,Broad-complex_Lneg_g11092,94.715,ref|XP_011347762.1|,transcription factor GAGA isoform X1 [Ooceraea biroi],1.7E-155,454
Broad-complex_Lneg_g13375_i6,Broad-complex_Lneg_g13375,96.232,ref|XP_024867008.1|,broad-complex core protein isoforms 1/2/3/4/5 isoform X1 [Temnothorax curvispinosus],0,676
Brummer_Lneg_g00802_i1,Brummer_Lneg_g00802,85.047,ref|XP_011175413.2|,1-acylglycerol-3-phosphate O-acyltransferase Pnpla3 isoform X3 [Solenopsis invicta],0,927
Brummer_Lneg_g00803_i1,Brummer_Lneg_g00803,80,ref|XP_024883632.1|,patatin-like phospholipase domain-containing protein 3 isoform X1 [Temnothorax curvispinosus],8.08E-133,390
bsk_Lneg_g06196_i1,bsk_Lneg_g06196,99.444,ref|XP_011064627.1|,PREDICTED: mitogen-activated protein kinase 14B-like isoform X2 [Acromyrmex echinatior],0,745
bsk_Lneg_g14406_i2,bsk_Lneg_g14406,99.743,ref|XP_011347468.1|,stress-activated protein kinase JNK [Ooceraea biroi],0,816
Bursicon_Lneg_g02292_i1,Bursicon_Lneg_g02292,77.869,ref|NP_650983.1|,bursicon [Drosophila melanogaster],2.71E-70,212
Bursicon_Lneg_g02293_i1,Bursicon_Lneg_g02293,100,gb|KMQ98359.1|,partner of bursicon [Lasius niger],6.92E-98,280
C-5_Dnmt_Lneg_g05294_i1,C-5_Dnmt_Lneg_g05294,62.115,ref|XP_011172937.1|,uncharacterized protein LOC105205288 [Solenopsis invicta],0,1837
C-5_Dnmt_Lneg_g11178_i1,C-5_Dnmt_Lneg_g11178,80.223,ref|XP_011068917.1|,PREDICTED: tRNA (cytosine(38)-C(5))-methyltransferase [Acromyrmex echinatior],0,598
C-5_Dnmt_Lneg_g11248_i1,C-5_Dnmt_Lneg_g11248,71.378,ref|XP_024869505.1|,DNA (cytosine-5)-methyltransferase PliMCI-like [Temnothorax curvispinosus],0,1683
cactin_Lneg_g06559_i1,cactin_Lneg_g06559,78.626,ref|XP_024880891.1|,cactin [Temnothorax curvispinosus],8.82E-132,429
cact_Lneg_g08078_i1,cact_Lneg_g08078,95.652,gb|KMQ97487.1|,nf-kappa-b inhibitor cactus [Lasius niger],0,622
cact_Lneg_g11273_i1,cact_Lneg_g11273,54.691,ref|XP_026825753.1|,NF-kappa-B inhibitor cactus [Ooceraea biroi],1.08E-137,403
Carboxylesterase_type_B_Lneg_g00655_i1,Carboxylesterase_type_B_Lneg_g00655,96.037,ref|XP_018055071.1|,PREDICTED: neuroligin-1-like [Atta colombica],0,632
Carboxylesterase_type_B_Lneg_g00732_i2,Carboxylesterase_type_B_Lneg_g00732,96.054,gb|KMQ94793.1|,neuroligin- y-linked-like protein [Lasius niger],0,1766
Carboxylesterase_type_B_Lneg_g02639_i1,Carboxylesterase_type_B_Lneg_g02639,89.241,ref|XP_012227046.1|,"PREDICTED: neuroligin-4, Y-linked [Linepithema humile]",3.81E-88,287
Carboxylesterase_type_B_Lneg_g04130_i5,Carboxylesterase_type_B_Lneg_g04130,85.009,ref|XP_012215980.1|,PREDICTED: esterase FE4-like [Linepithema humile],0,1004
Carboxylesterase_type_B_Lneg_g04374_i1,Carboxylesterase_type_B_Lneg_g04374,78.182,ref|XP_039308784.1|,acetylcholinesterase isoform X3 [Solenopsis invicta],3.58E-157,456
Carboxylesterase_type_B_Lneg_g04742_i1,Carboxylesterase_type_B_Lneg_g04742,84.234,ref|XP_039308782.1|,acetylcholinesterase isoform X2 [Solenopsis invicta],0,727
Carboxylesterase_type_B_Lneg_g04757_i1,Carboxylesterase_type_B_Lneg_g04757,89.246,gb|KMQ89834.1|,carboxylesterase 5a-like protein [Lasius niger],0,1120
Carboxylesterase_type_B_Lneg_g07252_i1,Carboxylesterase_type_B_Lneg_g07252,96.512,ref|XP_012227046.1|,"PREDICTED: neuroligin-4, Y-linked [Linepithema humile]",1.02E-178,525
Carboxylesterase_type_B_Lneg_g08032_i1,Carboxylesterase_type_B_Lneg_g08032,98.333,gb|KMQ85014.1|,neuroligin- x-linked-like protein [Lasius niger],2.02E-86,250
Carboxylesterase_type_B_Lneg_g08646_i1,Carboxylesterase_type_B_Lneg_g08646,85.563,ref|XP_011164485.2|,neuroligin-1 [Solenopsis invicta],0,1593
Carboxylesterase_type_B_Lneg_g08812_i1,Carboxylesterase_type_B_Lneg_g08812,93.636,ref|XP_011169376.1|,"neuroligin-4, X-linked [Solenopsis invicta]",2.54E-137,421
Carboxylesterase_type_B_Lneg_g09135_i1,Carboxylesterase_type_B_Lneg_g09135,59.752,ref|XP_011050680.1|,PREDICTED: esterase FE4-like [Acromyrmex echinatior],0,791
Carboxylesterase_type_B_Lneg_g09430_i1,Carboxylesterase_type_B_Lneg_g09430,92.676,ref|NP_001139208.1|,neuroligin 3 precursor [Apis mellifera],0,688
Carboxylesterase_type_B_Lneg_g11331_i1,Carboxylesterase_type_B_Lneg_g11331,81.992,ref|XP_024893383.1|,uncharacterized protein LOC112468442 isoform X1 [Temnothorax curvispinosus],0,1927
Carboxylesterase_type_B_Lneg_g11461_i1,Carboxylesterase_type_B_Lneg_g11461,91.736,ref|XP_011066919.1|,PREDICTED: neuroligin 4-like [Acromyrmex echinatior],1.36E-78,231
Carboxylesterase_type_B_Lneg_g12447_i1,Carboxylesterase_type_B_Lneg_g12447,81.166,ref|XP_024883947.1|,neurotactin [Temnothorax curvispinosus],0,1090
Carboxylesterase_type_B_Lneg_g13158_i1,Carboxylesterase_type_B_Lneg_g13158,65.819,ref|XP_018045227.1|,PREDICTED: esterase E4-like [Atta colombica],3E-177,511
Carboxylesterase_type_B_Lneg_g13355_i1,Carboxylesterase_type_B_Lneg_g13355,96.763,gb|KMQ95962.1|,esterase fe4-like protein [Lasius niger],0,1119
Carboxylesterase_type_B_Lneg_g13357_i1,Carboxylesterase_type_B_Lneg_g13357,95.683,gb|KMQ95962.1|,esterase fe4-like protein [Lasius niger],0,1085
Carboxylesterase_type_B_Lneg_g13949_i1,Carboxylesterase_type_B_Lneg_g13949,96.226,ref|XP_018055157.1|,PREDICTED: uncharacterized protein LOC108691765 [Atta colombica],1.97E-103,327
Carboxylesterase_type_B_Lneg_g15486_i1,Carboxylesterase_type_B_Lneg_g15486,77.251,ref|XP_011169148.1|,acetylcholinesterase [Solenopsis invicta],1.16E-97,300
Carboxylesterase_type_B_Lneg_g15905_i1,Carboxylesterase_type_B_Lneg_g15905,97.26,ref|XP_011169376.1|,"neuroligin-4, X-linked [Solenopsis invicta]",0,600
Carboxylesterase_type_B_Lneg_g15959_i1,Carboxylesterase_type_B_Lneg_g15959,90.201,ref|XP_011337872.1|,acetylcholinesterase [Ooceraea biroi],0,764
Carboxylesterase_type_B_Lneg_g16637_i1,Carboxylesterase_type_B_Lneg_g16637,68.557,ref|XP_011162023.2|,venom carboxylesterase-6 [Solenopsis invicta],1.28E-87,271
Carboxylesterase_type_B_Lneg_g16698_i1,Carboxylesterase_type_B_Lneg_g16698,78.512,ref|XP_024887110.1|,liver carboxylesterase 2-like [Temnothorax curvispinosus],0,1004
Carboxylesterase_type_B_Lneg_g16930_i1,Carboxylesterase_type_B_Lneg_g16930,78.483,ref|XP_011067218.1|,PREDICTED: venom carboxylesterase-6-like [Acromyrmex echinatior],0,960
carboxypeptidase_b-like_Lneg_g16167_i1,carboxypeptidase_b-like_Lneg_g16167,89.633,ref|XP_011063332.1|,PREDICTED: carboxypeptidase B-like [Acromyrmex echinatior],0,884
carboxypeptidase_b-like_Lneg_g16170_i1,carboxypeptidase_b-like_Lneg_g16170,99.125,gb|KMQ91956.1|,carboxypeptidase b-like protein [Lasius niger],0,939
caspar_Lneg_g12997_i1,caspar_Lneg_g12997,94.294,gb|KMQ91036.1|,fas-associated factor 1 [Lasius niger],0,1350
cathepsin_Lneg_g07397_i1,cathepsin_Lneg_g07397,81.361,ref|XP_018058322.1|,PREDICTED: cathepsin L1 [Atta colombica],0,577
CCAP_Lneg_g07293_i1,CCAP_Lneg_g07293,60.14,ref|XP_011157971.1|,uncharacterized protein LOC105194644 [Solenopsis invicta],1.11E-51,162
CCHamide-1_Lneg_g01876_i1,CCHamide-1_Lneg_g01876,62.176,ref|XP_025993813.1|,uncharacterized protein LOC105208175 [Solenopsis invicta],1.22E-70,216
CCHamide-2_Lneg_g01875_i2,CCHamide-2_Lneg_g01875,70.323,ref|XP_011176257.1|,uncharacterized protein LOC105208172 [Solenopsis invicta],6.67E-76,225
Cdk4_Lneg_g02168_i2,Cdk4_Lneg_g02168,84.472,ref|XP_024879403.1|,cyclin-dependent kinase 4-like [Temnothorax curvispinosus],0,787
Chaperonins_Lneg_g00974_i1,Chaperonins_Lneg_g00974,95.871,ref|XP_011061141.1|,PREDICTED: LOW QUALITY PROTEIN: T-complex protein 1 subunit alpha [Acromyrmex echinatior],0,1085
Chaperonins_Lneg_g03227_i1,Chaperonins_Lneg_g03227,99.06,gb|KMQ88868.1|,t-complex protein 1 subunit theta-like protein [Lasius niger],0,1078
Chaperonins_Lneg_g03593_i2,Chaperonins_Lneg_g03593,98.165,gb|KMQ96041.1|,t-complex protein 1 subunit delta [Lasius niger],0,1077
Chaperonins_Lneg_g04074_i1,Chaperonins_Lneg_g04074,99.818,gb|KMQ92073.1|,t-complex protein 1 subunit gamma [Lasius niger],0,1118
Chaperonins_Lneg_g04132_i1,Chaperonins_Lneg_g04132,94.669,gb|KMR01421.1|,t-complex protein 1 subunit epsilon [Lasius niger],0,1044
Chaperonins_Lneg_g04295_i1,Chaperonins_Lneg_g04295,95.122,ref|XP_011340092.1|,T-complex protein 1 subunit beta isoform X2 [Ooceraea biroi],0,936
Chaperonins_Lneg_g04920_i1,Chaperonins_Lneg_g04920,99.435,gb|KMQ96562.1|,t-complex protein 1 subunit zeta [Lasius niger],0,1074
Chaperonins_Lneg_g16655_i1,Chaperonins_Lneg_g16655,99.814,gb|KMQ97894.1|,t-complex protein 1 subunit eta [Lasius niger],0,1106
CHICO_Lneg_g09027_i5,CHICO_Lneg_g09027,84.37,ref|XP_039307762.1|,mucin-5AC isoform X2 [Solenopsis invicta],0,1898
Chitinase_Lneg_g01705_i1,Chitinase_Lneg_g01705,95.021,gb|KMQ92444.1|,acidic mammalian chitinase [Lasius niger],0,947
Chitinase_Lneg_g02269_i1,Chitinase_Lneg_g02269,72.039,ref|XP_011156382.3|,probable chitinase 10 [Solenopsis invicta],0,3932
Chitinase_Lneg_g04473_i1,Chitinase_Lneg_g04473,74.112,ref|XP_011349324.1|,chitinase domain-containing protein 1 [Ooceraea biroi],0,645
Chitinase_Lneg_g05772_i1,Chitinase_Lneg_g05772,95.15,ref|XP_024891112.1|,probable chitinase 10 [Temnothorax curvispinosus],0,1934
Chitinase_Lneg_g06372_i1,Chitinase_Lneg_g06372,62.025,ref|XP_011170320.2|,mucin-19 isoform X1 [Solenopsis invicta],0,2138
Chitinase_Lneg_g06791_i1,Chitinase_Lneg_g06791,99.167,gb|KMQ92726.1|,acidic mammalian chitinase [Lasius niger],0,995
Chitinase_Lneg_g08458_i1,Chitinase_Lneg_g08458,78.829,ref|XP_011156409.1|,probable chitinase 2 [Solenopsis invicta],0,726
Chitinase_Lneg_g08987_i1,Chitinase_Lneg_g08987,99.105,gb|KMQ99146.1|,chitinase-like protein idgf4 protein [Lasius niger],0,915
Chitinase_Lneg_g09826_i1,Chitinase_Lneg_g09826,89.75,ref|XP_012224383.1|,PREDICTED: mucin-12-like [Linepithema humile],0,796
Chitinase_Lneg_g16427_i1,Chitinase_Lneg_g16427,84.086,ref|XP_011166685.1|,endochitinase [Solenopsis invicta],0,889
Chitin_binding_Peritrophin-A_domain_Lneg_g00271_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g00271,82.022,ref|XP_025988570.2|,collagen alpha-1(I) chain [Solenopsis invicta],1.03E-49,170
Chitin_binding_Peritrophin-A_domain_Lneg_g00272_i2,Chitin_binding_Peritrophin-A_domain_Lneg_g00272,74.087,ref|XP_011349966.2|,mucin-4 [Ooceraea biroi],0,2358
Chitin_binding_Peritrophin-A_domain_Lneg_g00801_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g00801,43.678,ref|XP_011345012.1|,peritrophin-1 [Ooceraea biroi],2.36E-42,144
Chitin_binding_Peritrophin-A_domain_Lneg_g01392_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g01392,60.793,ref|NP_001245778.1|,"obstructor-A, isoform B [Drosophila melanogaster]",7.26E-99,290
Chitin_binding_Peritrophin-A_domain_Lneg_g01393_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g01393,94.138,ref|XP_011338892.1|,protein obstructor-E-like isoform X2 [Ooceraea biroi],0,546
Chitin_binding_Peritrophin-A_domain_Lneg_g01643_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g01643,36.364,gb|KMQ88939.1|,"peritrophic matrix protein 14 precursor, partial [Lasius niger]",0.0000055,50.1
Chitin_binding_Peritrophin-A_domain_Lneg_g01704_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g01704,43.75,ref|NP_611542.2|,chitinase 8 [Drosophila melanogaster],0.00000996,45.8
Chitin_binding_Peritrophin-A_domain_Lneg_g02378_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g02378,58.402,ref|XP_026826704.1|,uncharacterized protein LOC113562234 [Ooceraea biroi],0,543
Chitin_binding_Peritrophin-A_domain_Lneg_g03417_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g03417,68.293,ref|XP_019887373.1|,peritrophin-1-like [Ooceraea biroi],6.93E-33,112
Chitin_binding_Peritrophin-A_domain_Lneg_g03817_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g03817,77.496,ref|XP_024877928.1|,uncharacterized protein DDB_G0284459 [Temnothorax curvispinosus],0,1234
Chitin_binding_Peritrophin-A_domain_Lneg_g04415_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g04415,84.314,ref|XP_024885938.1|,uncharacterized protein LOC112463670 [Temnothorax curvispinosus],4.34E-59,184
Chitin_binding_Peritrophin-A_domain_Lneg_g04812_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g04812,91.483,gb|KMQ92831.1|,hypothetical protein RF55_7131 [Lasius niger],0,2483
Chitin_binding_Peritrophin-A_domain_Lneg_g04885_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g04885,56.422,ref|XP_012220552.1|,PREDICTED: mucin-5AC-like [Linepithema humile],0,1443
Chitin_binding_Peritrophin-A_domain_Lneg_g04886_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g04886,43.137,ref|NP_723116.1|,"obstructor-E, isoform B [Drosophila melanogaster]",1.62E-52,173
Chitin_binding_Peritrophin-A_domain_Lneg_g05142_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g05142,37.605,ref|NP_609806.1|,ChLD3 [Drosophila melanogaster],6.85E-105,327
Chitin_binding_Peritrophin-A_domain_Lneg_g05678_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g05678,54.878,ref|XP_011335682.1|,uncharacterized protein LOC105278349 [Ooceraea biroi],3.5E-60,186
Chitin_binding_Peritrophin-A_domain_Lneg_g05809_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g05809,40.517,ref|XP_024872728.1|,uncharacterized protein LOC112455184 [Temnothorax curvispinosus],2.04E-14,72.8
Chitin_binding_Peritrophin-A_domain_Lneg_g06205_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g06205,93.913,ref|XP_025995360.1|,protein obstructor-E isoform X2 [Solenopsis invicta],1.31E-163,455
Chitin_binding_Peritrophin-A_domain_Lneg_g06268_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g06268,92.218,ref|XP_012224005.1|,PREDICTED: chondroitin proteoglycan-2-like [Linepithema humile],3.47E-174,482
Chitin_binding_Peritrophin-A_domain_Lneg_g06269_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g06269,90.4,ref|XP_011164126.1|,protein obstructor-E [Solenopsis invicta],4.26E-81,240
Chitin_binding_Peritrophin-A_domain_Lneg_g07069_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g07069,88.166,ref|XP_025993367.1|,uncharacterized protein LOC105202208 [Solenopsis invicta],0,550
Chitin_binding_Peritrophin-A_domain_Lneg_g07113_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g07113,80.904,ref|XP_024885848.1|,homeobox protein 2-like [Temnothorax curvispinosus],0,945
Chitin_binding_Peritrophin-A_domain_Lneg_g07586_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g07586,48.448,ref|XP_012224383.1|,PREDICTED: mucin-12-like [Linepithema humile],0,1168
Chitin_binding_Peritrophin-A_domain_Lneg_g07641_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g07641,65.116,ref|XP_011335328.1|,peritrophin-1 [Ooceraea biroi],2.13E-41,132
Chitin_binding_Peritrophin-A_domain_Lneg_g08063_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g08063,97.588,ref|XP_018055035.1|,PREDICTED: uncharacterized protein LOC108691677 [Atta colombica],0,1108
Chitin_binding_Peritrophin-A_domain_Lneg_g08951_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g08951,98.378,gb|KMQ95542.1|,lrr domain-containing protein [Lasius niger],0,1118
Chitin_binding_Peritrophin-A_domain_Lneg_g09635_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g09635,46.497,ref|XP_024867514.1|,mucin-5AC-like [Temnothorax curvispinosus],1.89E-43,176
Chitin_binding_Peritrophin-A_domain_Lneg_g09821_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g09821,41.36,ref|XP_039308870.1|,uncharacterized protein LOC105203677 [Solenopsis invicta],5.07E-68,233
Chitin_binding_Peritrophin-A_domain_Lneg_g10972_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g10972,73.563,ref|XP_011340504.2|,uncharacterized protein LOC105281159 [Ooceraea biroi],2.49E-33,112
Chitin_binding_Peritrophin-A_domain_Lneg_g10973_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g10973,80,ref|XP_011340507.1|,probable chitinase 10 [Ooceraea biroi],2.56E-40,129
Chitin_binding_Peritrophin-A_domain_Lneg_g10997_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g10997,64.146,ref|XP_011343043.1|,uncharacterized protein LOC105282629 [Ooceraea biroi],8.91E-170,483
Chitin_binding_Peritrophin-A_domain_Lneg_g13477_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g13477,85.837,ref|XP_039312935.1|,protein obstructor-E [Solenopsis invicta],1.03E-149,420
Chitin_binding_Peritrophin-A_domain_Lneg_g13500_i1,Chitin_binding_Peritrophin-A_domain_Lneg_g13500,72.727,ref|XP_024867601.1|,uncharacterized protein LOC112451927 isoform X1 [Temnothorax curvispinosus],0,2270
